wine_id,wine_name,wine_year,wine_type,wine_price,Beschreibung,wine_alcohol,wine_tastes,wine_country
66,LE BOCCE Chianti Classico,2009,red,10.95,"Der Archetyp eines Chianti Classico. Das mustergültige Bouquet vereint Schwarzkirschen, Brombeeren und florale Noten nach Veilchen mit leichten Fassaromen und einer würziger Kräuternote. Am Gaumen erstaunlich intensiv, würzige Sangiovese-Frucht trifft auf kompakte Struktur und reife Tannine. Ein Toskana-Traum zur anspruchsvollen Pasta-Küche.",13.48%,mittelkräftig&ausgewogen,Italien
67,LA LUNA E I FALÒ Barbera d'Asti,2002,red,11.8,"Ein Klassiker in Höchstform! Der La Luna e I Falò ist seit Jahr und Tag ein überaus verlässlicher Wein, doch mit der aktuellen Edition hat sich das Team des Weinguts selbst übertroffen: Tiefdunkles Purpurrot läutet das Wein-Vergnügen ein. Der hinreißende Duft nach roten Kirschen, reifen Brombeeren, Kräutern und Fass stehen im spannenden Wechselspiel zu profunder Struktur, kernigen Tanninen und einem Nachhall, der nicht enden will. Das ist Barbera par excellence. Es lohnen sich auch ein paar Jahre der Lagerung, wenn man dem Wein denn widerstehen kann!",14.17%,körperreich&vollmundig,Italien
68,TERRE DI SAN QUIRICO Silenzio,2016,red,12.5,"Von allen so attraktiven Barbera-Versionen ist die im Barrique gereifte, wohl am spannendsten. Erst recht handelt es sich um einen Barbera d’Alba und heißt der Winzer Stefano Farina. Sein zwölf Monate in französischen Eichenfässern (Allier & Vosges) ausgebauter Vino Rosso strotzt nur so vor Klasse und Individualität. Eine dunkle kirschrote Farbe macht den Auftakt. Das feingliedrige Bouquet brilliert mit vielen Nuancen nach Wilderdbeeren, rote Johannisbeeren, Süßkirsche und Blaubeeren auf der Fruchtseite und Edel-Schoko und Vanille vom Fass. Am Gaumen dicht und großzügig, toll integrierte Tannine, präzise Textur, viel Spiel bei exzellenter Frucht-Fass-Balance und langem Nachhall. Oh, che bello!",14.80%,körperreich&vollmundig,Italien
69,WALCH - von Keller Lagrein,2007,red,12.5,"Der Lagrein -  eine typisch Südtiroler Spezialität - gehört zu den ganz alten Rebsorten Europas, so wurde bereits 1379 in einer Urkunde in Tramin ein „bonum Lagrinum“ (ein guter Lagreinwein) erwähnt. Bis heute erfreut sich der Lagrein großer Beliebtheit und hat man das Exemplar von Wilhelm Walch im Glas, dann weiß man auch warum. Dem intensiven, dunklen Granatrot folgt ein verführerischer Duft nach Brombeeren, Heidelbeeren und Kirschen. Am Gaumen voll, samtig, fein, gleichwohl eine komplexe Tanninstruktur zeigend. Gerade für Fans regionaler Wein-Spezialitäten erste Wahl. ",12.86%,mittelkräftig&ausgewogen,Italien
70,REGOLO,2019,red,12.7,"Wenn einer der berühmtesten Winzer Venetiens zu Ehren seines Großvaters einen Wein kreiert, dann erwartet man zu Recht etwas ganz Besonderes. Und hier wird man nicht enttäuscht. Der Regolo (so hieß der Großvater von Andrea Sartori) ist ein Veroneser Wein vom Feinsten. Herrlich funkelndes Rubin in der Robe, das einladende Bouquet wird dominiert von getrockneten Pflaumen, reifen Datteln und dunklen Beeren, stilvoll komplettiert mit leichten Untertönen vom Fass und einem Touch exotischer Gewürze (Zimt, Kardamom). Am Gaumen mit viel Schmelz, cremigen Tanninen und wunderbar eingebundener Frucht. Der Nachhall schon schöne Reife zeigend. Wer Amarone liebt, sollte den Regolo ins Auge fassen. ",13.77%,körperreich&vollmundig,Italien
71,VECCHIA TORRE Leverano Riserva,2019,red,12.8,"Gereifter Wein - fairer Preis… Ein Duo, das sie immer rarer macht. Insbesondere klassische Weine aus der Toskana, dem Piemont oder auch aus Bordeaux und erst recht dem Burgund sind mit älteren Jahrgängen recht kostspielig. Das kann man von dieser Leverano Riserva nicht behaupten. Die Cuvée aus Negroamaro und Malvasia Nera holte sich ihren Feinschliff 10-12 Monate in Barriques und reift seitdem viele Jahre auf der Flasche, was man dem intensiven Rubinrot nicht anmerkt. Doch beim Bouquet machen sich neben Fruchtnoten wie roten Beeren und Pflaumen, auch erste Reifenoten bemerkbar: getrocknete Kräuter, Unterholz und Gewürze, dazu Fassnoten wie Toast und Vanille. Am Gaumen warm, ausgewogen, mit samtigen Tanninen und langanhaltendem Nachhall. Ein super Wein für Schmorgerichte und Pasta mit würzigen Saucen.  ",13.68%,körperreich&vollmundig,Italien
72,LOMBARDO Nero d`Altura,2005,red,12.8,"Giuseppe, Salvatore, Gianfranco, Roberto… was sich anhört wie ein Katalog italienischer Lieblings-Vornamen für Jungen, ist nichts anderes als das Vater-Söhne-Team der Tenuta Lombardo. Und das ist seit fast einem halben Jahrhundert auf dem Hochland im Zentrum Siziliens unterwegs, bis 580 Meter ragen die Weinberge in den Himmel, dieser Nero d’Avola trägt seinen Name Nero d`Altura also völlig zu Recht. Aber nicht nur der Name ist geprägt von den Höhenmetern, auch dem Wein merkt man an, dass er aus einer extrem hohen Lage stammt, ist er doch deutlich „kühler“ als die Rotweine aus der Ebene. Herrlich, wie er in intensiv-roter Farbe mit violetten Reflexen ins Glas fließt. Das feingewobene Bouquet duftet nach reifen roten Waldbeeren, dazu gesellt sich eine saftige Kirschnote und ein Hauch von Gewürzen. Sehr animierend. Am Gaumen voll und samtig, klug eingebaute Weinsäure, gelungene Balance zwischen zarter Frucht und dezenten Holznoten, der Nachklang finessenreich, vielschichtig und leicht mineralisch. Passt gut zur feinen italienischen Küche.   ",14.65%,körperreich&vollmundig,Italien
73,LE BOCCE Chianti Classico Riserva,2018,red,13.5,"Sie stellt für viele Fans italienischer Weine den Inbegriff eines klassischen Toskaners dar: die Chianti Classico Riserva! Und das hat gute Gründe. Denn mit der längeren Reife in Fass und auf der Flasche entwickelt der Sangiovese mehr Facetten, ist aber gleichzeitig immer noch jung genug, um seinen fruchtigen Charme zu entfalten. Die Farbe pendelt zwischen Rubin-und Granatrot. Der wunderbare Duft zeigt Noten von Sauerkirschen, reifen roten Beeren, dazu Gewürze, Leder und etwas Holz, alles mit einem leicht floralen Oberton. Am Gaumen mit eleganten Tanninen, mittelkräftiger Struktur, immer noch frischer Weinsäure, aber schon mit schön gereiftem Finale. Zu toskanischen Küchenklassikern der perfekte Wein! ",13.52%,mittelkräftig&ausgewogen,Italien
74,TORCICODA Primitivo,2005,red,13.95,"Wenn es einen Namen auf der Liste italienischer Weinerzeuger gibt, der Weltruhm besitzt, dann ist dies ohne Frage Marchese Piero Antinori! Sein Engagement in der Toskana ist Legende, aber auch von seinem Weingut in Apulien – der Tenuta Tormaresca – stammen exzellente Weine. Der Torcicoda Primitivo ist einer davon. Und Antinori wäre nicht Antinori, wäre seine Interpretation der Boom-Traube vom Stiefel nicht besonders attraktiv. Eine intensive rubinrote Farbe mit violetten Reflexen macht den Auftakt. Die expressiven Aromen von Früchten wie Brombeeren, eingelegten Kirschen und Pflaumen sind verwoben mit Anklängen von Lakritz und zarten Noten von kandierten Früchten. Am Gaumen großzügig und ausgewogen, mit guter Struktur, kräftigem, aber reifem Tannin und viel Frucht, dabei aber deutlich trockener als viele andere Primitivi. Im Nachklang saftig, fein, fast elegant. Ein großartiger Vino Rosso zu Schmorgerichten nach italienischer Art.",15.83%,körperreich&vollmundig,Italien
75,FATTORIA DEL CERRO Vino Nobile,2003,red,14.4,"Der Vino Nobile di Montepulciano bewegt sich qualitativ auf Augenhöhe mit anderen großen Namen der Toskana wie Chianti Classico Gran Selezione oder Brunello di Montalcino. Nur beim Preis ist er meilenweit von seinen Qualitäts-Nachbarn entfernt. Kommt dann noch ein Top-Erzeuger und ein exzellenter Jahrgang dazu, ist großer Toskana-Genuss garantiert, so wie bei diesem Nobile der Fattoria del Cerro. Wunderbar, das leuchtende Rubinrot mit granatrotem Saum. Das feine Bouquet zeigt florale Noten wie Veilchen, dazu Süßkirschen und Pflaumen auf der Fruchtseite, perfekt kombiniert mit einem kräftigen Kräuter-Gout, erstes Zeichen einer beginnenden Reife. Am Gaumen Toscana in purezza, mit stilsicherer Balance zwischen Frucht, kräftigen Tanninen, eleganter Weinsäure und wiederum spürbaren Kräuternoten. Passt perfekt zu Pasta, insbesondere mit kräftig gewürzten Saucen. ",13.58%,mittelkräftig&ausgewogen,Italien
76,PRUNOTTO Bansella,2018,red,14.95,"Sie gehören zu den heimlichen Stars des Piemont: die Barbera der Denominazione di Origine Controllata e Garantita Nizza! Kommt dann noch ein renommierter Erzeuger wie Prunotto dazu, freut man sich auf ein Barbera-Festival vom Feinsten. Der Bansella - mit neun Monaten Ausbau in gebrauchten Fässern geadelt - fließt Rubinrot ins Glas. Das subtile Bouquet duftet einerseits nach roten Früchten wie Kirschen und Himbeeren, andererseits tauchen florale Noten nach Veilchen auf und Aromen wie Süßholz und Koriander. Am Gaumen üppig, saftig, gaumenfüllend, um dann im Nachhall mit einer überraschend frischen Weinsäure und großer Harmonie zu überzeugen. Wie gemacht für Pasta, Risotto und Focaccia!",14.46%,körperreich&vollmundig,Italien
77,NINO NEGRI Sassella,2017,red,15.5,"Schon mal etwas von Chiavennasca di Valtellina gehört? Wenn nicht, dann ist das wenig verwunderlich, handelt es sich doch um ein altes lombardisches Synonym für eine der berühmtesten Rebsorten Italiens: Nebbiolo! Und in der Tat, das Veltlin ist neben dem Piemont, eines der ältesten Anbaubiete für diese so wertvolle Rebe. Dort ist die Heimat des Weinguts Nino Negri, das man mit Fug und Recht als Botschafter der Denominazione di Origine Controllata e Garantita Valtellina Superiore bezeichnen kann. Einer der Klassiker des Guts ist der Sassella, der schon mit seiner intensiven rubinroten Farbe auf sich aufmerksam macht. Das feinfruchtige, würzige Bouquet mit Noten nach Kirschen, Hagebutten, Kräutern und Gewürzen ist ebenso einladend wie die reifen Tannine, die profunde Struktur und der wunderbar schmelzige Nachhall. Das ist Nebbiolo... Verzeihung, Chiavennasca di Valtellina in schönster Manier!",13.77%,mittelkräftig&ausgewogen,Italien
78,AVOGADRI Diamante,2009,red,15.95,"Warum Primitivo zum absoluten Rebsorten-Liebling aufgestiegen ist, das erfährt man, wenn man den Avogadri im Glas hat. Dichtes Purpur mit violetten Reflexen bilden den Auftakt. Danach folgt eine beeindruckende Ode von reifen Pflaumen, getrockneten Feigen, Edel-Schoko, Koriander und vollreifen Kirschen, die am Gaumen nahtlos fortfährt, inklusive eines enorm verführerischen Gaumengefühls und einem Nachklang, der nicht enden will. Primitivo, we love you!",14.53%,körperreich&vollmundig,Italien
79,LE MORTELLE Botrosecco,2004,red,15.95,"Die 1999 von Antinori übernommene Fattoria Le Mortelle in der Maremma gehört zu den weniger bekannten Weingütern des großen Italieners, Das könnte sich mit der aktuellen Edition Le Mortelle ändern. Dichtes Rubinrot mit violettem Saum prägt die Farbe. Das auffallende Bouquet zeigt vollreife Kirschen, sanfte Beerenfrucht, cremiges Eichenholz, Edelschokolade und einen Anflug balsamischer Noten. Am Gaumen mit jenem vielgestaltigen, verführerischen Reichtum, das nur ein Super-Tuscan dieses Zuschnitts mitbringt. Kraft vereinigt sich mit Finesse, Frucht mit Eleganz, Fassaromen mit harmonischer Weinsäure, dabei bleibt alles perfekt in der Waage gehalten und mit reifen Tanninen garniert. Auch der Klasse-Nachhall ist eines Super-Tuscans würdig. Dazu ein Bistecca alla fiorentina oder auch hausgemachte Pasta… Unwiderstehlich!",14.26%,körperreich&vollmundig,Italien
80,CARPINETO Chianti Classico Riserva,2019,red,16.9,"Wie kommt ein Chianti Classico eigentlich zu dem Ehrentitel „Riserva“? Dazu braucht es eine Menge sorgfältiger Arbeitsschritte. Zunächst werden nur voll ausgereifte Trauben sortiert, die danach langsam fermentiert werden. Der Ausbau erfolgt im Fass, beim Carpineto sind das unterschiedlich große, aus slawonischer und französischer Eiche. Dort verweilt der Wein mindestens 12 Monate, bleibt danach 2 Monate im Edelstahl und reift nochmal 10 Monate auf der Flasche, bevor er das Weingut verlässt. So ein Aufwand lohnt sich: Schon das satte Rubinrot mit granatrotem Saum macht Lust auf den ersten Schluck. Das Duftpanorama umfasst Noten nach roten Kirschen, Brombeeren und Veilchen, dazu ein Hauch Kräuter und Rauch. Am Gaumen mit kräftigen, gleichwohl reifen Tanninen, präziser Struktur und einem Nachhall, der feine Anzeichen von Reife zeigt. Ganz wunderbar zu raffinierten Pasta-Rezepturen! ",13.77%,mittelkräftig&ausgewogen,Italien
81,PRÀ Morandina Valpolicella Ripasso,2001,red,18.95,"Ein Valpolicella Ripasso, wie er schöner nicht sein könnte! Meisterhaft bringt dieser Wein die fruchtige Frische des Valpolicella mit der reichen Fülle des Amarone zusammen. Ausgewogenheit ist hier das Stichwort. Und so erstaunt es nicht, dass der Ripasso-Stil geradewegs zum Publikumsliebling aufgestiegen ist, erst recht kommt er aus so kundigen Händen wie die von Graziano Prà! Ein intensives, dichtes Rubinrot mit violetten Reflexen leuchtet im Glas. Das üppige Bouquet strotzt nur so voller reifer schwarzer Kirschen, die Gewürze wie Vanille und Zimt begleiten. Am Gaumen ist der Wein würzig, dabei mit großer Fruchtdichte, exzellent verbauter Weinsäure und viel Volumen. Das Finale weist eingekochte Pflaumen und einen raffinerten Hauch schwarzem Pfeffer auf. Toller Wein! ",14.35%,körperreich&vollmundig,Italien
82,FARNITO Cabernet Sauvignon,2017,red,19.5,"Der Farnito Cabernet Sauvignon genießt einen legendären Ruf und ist nach nunmehr fast 30 Jahrgängen einer der zuverlässigsten und dabei günstigsten Supertuscans. Die aktuelle Edition macht da keine Ausnahme. Dichtes Rubinrot in der Robe. Das feingliederige Bouquet offeriert roten Kirschen, Schwarze Johannisbeeren, duftiges Holz vom 10-monatigen Ausbau in Barriques und eine unnachahmliche Kräuternote, die so nur toskanische Cabernet Sauvignon aufweisen. Am Gaumen fest, kompakt, lebendig, vielschichtig, mit Riesenpotenzial gesegnet und einem herzhaft-würzigen Nachhall zeigend. Großes Cab-Kino! Dazu passt… Natürlich ein Bistecca alla fiorentina!",13.64%,körperreich&vollmundig,Italien
83,ELENA LA LUNA,2005,red,19.9,"Es ist immer wieder erstaunlich, mit welcher Kraft manche italienischen Winzerfamilien zu Werke gehen. Die Sarottos im Piemont jedenfalls haben in den letzten Jahren den Ruf ihrer Weine emorm verbessert. Auch die aktuelle Edition des wirklich köstlichen Barbera Elena La Luna ist mit der genialen Formel ""Reife-Trauben-große-Tradition-moderne-Vinifizierung"" wieder richtig gut geworden. Dunkles, leuchtendes Rubinrot in der Robe. Das duftige Bouquet zaubert die ganze Palette eines gut gemachten Barbera hervor, mit reifen Kirschen, Brombeeren und Vanille, dazu Kräuter und eine dezente Gewürznote. Am Gaumen saftig, fruchtig, gleichzeitig aber auch dicht, ungemein konzentriert und ausgesprochen gut strukturiert, der Nachhall harmonisch, sehr voll und lang. Ein Wein, der große Eigenständigkeit mit überragender Güte vereint!",15.22%,körperreich&vollmundig,Italien
84,PAOLO MANZONE Barolo,2017,red,27,"Paolo Manzone steht für klassischen, tiefgründigen, langlebigen Barolo und kaum ein zweiter Winzer im Piemont lebt diesen Wein wie er. Das liegt einmal an seinem Charakter, der Mann ist die personifizierte Begeisterung, was ihn allerdings nicht davon abhält mit großer Präzision zu arbeiten. So präsentiert er auch mit seiner aktuellen Edition, einen Wein von unglaublicher Komplexität. Mit hellem Rubinrot steht er im Glas. Der betörende Duft mit Amarenakirschen, Leder, Unterholz, reifen Feigen und Fassnoten lässt einen lange schwelgen. Am Gaumen ungemein dicht, stoffig, kräftiges Tannin trifft auf dezente Holznoten, der Nachhall zeigt ein Riesen-Reifepotenzial. Braucht Luft, wenn er jung getrunken wird und passt sehr gut zu einem würzigen Essen wie etwa Steinpilz-Risotto oder Wild mit kräftigen Saucen. ",14.40%,körperreich&vollmundig,Italien
85,FRANCO FIORINA Barolo,2021,red,27.9,"Jedes Mal, wenn der Name „Barolo“ erklingt, erwärmt sich das Herz vieler Weinfans. Und das aus gutem Grund, gehört der italienische Klassiker doch ohne Zweifel zu den ganz großen Weinen der Welt. Das liegt auch in seiner Einmaligkeit begründet. Während andere hochwertige Rebsorten wie Cabernet Sauvignon oder Syrah in vielen Teilen der Welt exzellente Ergebnisse hervorbringen, ist der Nebbiolo - aus der jeder Barolo erzeugt wird - außerhalb des Piemonts kaum vertreten, schon gar nicht in Form bedeutender Weine. Es bleibt also lokalen Winzern wie Stefano Farina vorbehalten, aus Nebbiolo langlebiger Weinschätze zu vinifizieren. Und das macht er richtig gut: Herrlich schon das funkelnde Kirschrot mit rubinroten Reflexen in der Farbe. Das anziehende Bouquet zeigt eine erstaunliche Bandbreite mit Früchten wie reifen Pflaumen und getrockneten Feigen, Fassnoten wie Rauch und Mokka, florale Noten mit Veilchen und Rose und würzige Aspekte mit Süßholz und mediterranen Kräutern. Am Gaumen vielförmig, reizvolles Wechselspiel von reifer Frucht, dezent verbautem Fass und würzigen Kräutern, der Nachhall schon mit feiner Reife und kräftiger Nebbiolo-Charakteristik beschenkt.",14.66%,körperreich&vollmundig,Italien
86,SAROTTO Barbaresco Riserva,2003,red,32,"Barbaresco Riserva… Bei diesem Namen läuft Nebbiolo-Fans ein wohliges Schauer über den Rücken: ist hier doch höchster Weingenuss garantiert. Denn erst nach 10, 15 oder 20 Jahren erreicht eine gut gemachte Barbaresco Riserva ihre volle Reife. Und was früher gang und gäbe war, nämlich, dass Weinhändler reife Bouteillen im Stock hatten, ist heute eher die Ausnahme. Freuen Sie sich also auf ein ganz besonderes Wein-Erlebnis, das mit einem funkelnden Granatrot mit kupferfarbenem Saum beginnt. Das vielgestaltige Bouquet offeriert getrocknete Früchte wie Feigen, Datteln und Pflaumen, dazu herbe Gewürze, mediterrane Kräuter und Noten von Leder, Unterholz und Lakritze. Am Gaumen enorm präsent, reiche Tanninstruktur, tolle Sämigkeit und immer noch präsente Weinsäure, ein Nachklang, der nochmal den ganzen Mund ausfüllt. Der perfekte Wein zu Wild, Pilzen, geschmortem Lamm und Rind.   ",14.26%,körperreich&vollmundig,Italien
87,LA PODERINA Brunello di Montalcino,2003,red,35,"„Die Weine von La Poderina versäumen es selten, mir ein Lächeln ins Gesicht zu zaubern. Es erfordert eine gehörige Portion Disziplin, das Glas bei der Verkostung dieser herrlichen Weine abzusetzen“, schrieb der Weinautor Antonio Galloni, damals in Diensten bei Robert Parker’s Wine Advocate. Das bringt die Sache auf den Punkt. Der Brunello di Montalcino von La Poderina ist nicht nur ein großer Wein, er ist auch ungemein verführerisch. Mit seinem dichten Rubinrot geht es los, dem ein opulenter Duft nach reifen Pflaumen, Brombeeren, Kuba-Tabak, Vanille und Walnüssen folgt. Am Gaumen harmonisch, cremig, stoffig und mit Grip, öffnet ein weites Panorama und zeigt ein eindrucksvolles Finale.  ",13.95%,körperreich&vollmundig,Italien
88,SARTORI Corte Brà Amarone Riserva,2015,red,35.5,"Einzigartig, was für einen großartigen Amarone-Film Andrea Santori hier abspielt und eindrucksvoll beweist, dass er die Königsdisziplin eines Veneto-Winzers aus dem Effeff beherrscht. Bereits die tief dunkelrote Farbe dieses Amarone della Valpolicella Riserva weist unzweifelhaft auf Kraft und Tiefe hin. Erst recht aber das intensive Bouquet, das Großes ankündigt: saftige Waldbeeren, eingekochte Kirschen, Haselnüsse, Pruneaux d’Agen, Süßholz, Vanille und Edelschoko geben sich ein verführerisches Stelldichein. Am Gaumen treffen enorme Konzentration und üppige Fülle auf feinreife Tannine und sämigem Trinkfluss. Das hat Stil, bis ins ausgedehnte Finale hinein. Ein Klassewein, eine große Amarone Riserva!",15.35%,körperreich&vollmundig,Italien
89,PRÀ Amarone,2007,red,44,"Er ist der Rotwein-König Venetiens: der Amarone! Und unter den kundigen Händen von Graziano Prà wird aus dem König ein Kaiser: sattes tiefes Purpurrot in der Farbe. Das opulente Bouquet duftet nach Datteln, reifen Feigen, Pruneaux d'Agen, dazu eine herzhafte Kräuternote, Karamell und Bitterschokolade. Am Gaumen voluminös, sehr feste Struktur bei großzügigen Tanninen zeigend, mundfüllend, unendlich lang und doch mit genügend Frische, um die Opulenz im Zaum zu halten. Das ist großer italienischer Rotwein, mit einem gewaltigen Reife-Potenzial! ",16.15%,körperreich&vollmundig,Italien
90,VECCHIA TORRE Syrah Primitivo,2011,red,5.95,"Ennio Cagnazzo von der Cantina Vecchia Torre ist Winzer mit Leib und Seele und kennt seine Heimat, sein Terroir und seine Rebsorten aus dem Effeff. Hier vereint er die Opulenz des Primitivo mit der Würze des Syrah: reife Pflaumen, Kirschlikör, Süßholz und Wildkräuter treffen auf Mokkabohnen und Kakao. Am Gaumen samtig, üppig, saftig, der Nachall von feiner Fruchtsüße geprägt. Dazu ein Teller leckere Pasta oder eine duftende Pizza... ",13.28%,mittelkräftig&ausgewogen,Italien
91,TERRE DEL SOLE Nero d'Avola,2005,red,7.9,"Es beeindruckt, mit welcher Souveränität die Cantine Rallo klassisch-sizilianische Rebsorten interpretiert. Klar, dass dabei Nero d’Avola in der vorderen Reihe steht, ist er doch ein Aushängschild des Weinbaus der Mittelmeerinsel. Schön anzusehen wie der Wein mit einem kräftigen Kirschrot ins Glas fließt. Das betörende Bouquet bietet saftige Süßkirschen, reife Pflaumen, dazu Anklänge von Röstaromen wie Tabak und ein Hauch von Gewürzen. Am Gaumen ist der Terre del Sole kraftvoll, unterlegt mit guter Tanninstruktur und einer saftigen Weinsäure, die begeistert! Der Nachhall zeigt nochmal viel Frucht, mediterranen Schmelz und gute Balance. Ein toller Wein zu Pasta und geschmortem Lamm.",12.90%,mittelkräftig&ausgewogen,Italien
92,AVOGADRI Primitivo-Negroamaro,2005,red,11.5,"Sie gehören zu den wichtigsten und wertigsten Rebsorten Apuliens: Primitivo und Negroamaro! Und wer, wenn nicht Luigi Avogadri könnte daraus eine Cuvée zaubern, die begeistert. Dabei behält Primitivo mit 70 % die Oberhand, während Negroamaro mit 30 % die Unterstützerrolle übernimmt. Los geht es mit einem tiefdunklen Rubinrot mit violettem Saum. Das üppige Bouquet zieht einen sofort in den Bann: saftige Waldbeeren, dunkle Kirschen und reife Pflaumen geben sich ein Stelldichein mit dunkler Schokolade, Tabak und einem raffinierten Touch Vanille. Im Mund dicht und komplex, cremige Tannine treffen auf eine herrlich saftige Struktur und ein vollmundiges Gaumengefühl. Das Finale in der typisch opulenten Luigi Avogadri-Manier. Das ist mal ein Pfund Wein, großartig! ",13.95%,mittelkräftig&ausgewogen,Italien
93,PARADISO Edizione,2016,red,11.95,"Primitivo und Apulien sind einfach nicht voneinander zu trennen. Hier, im Süden des italienischen Stiefels, gibt es perfekte Bedingungen für die weltberühmte Rebsorte. Und wenig andere Winzer haben sich so ins Zeug gelegt, Primitivo wieder groß zu machen, wie Angelo Paradiso. Und seine Edizione hat es wirklich in sich: Mit einem tiefen Purpurrot mit violetten Reflexen fließt der Wein ins Glas. Das üppig-fruchtige Bouquet verströmt reichhaltige Noten nach reifen Pflaumen, Süßkirschen, Feigen und Waldbeeren, dazu Nougat, Bourbon-Vanille und ein dezenter Hauch Tannenhonig. Am Gaumen mit profunder Tiefe, sämigen Tanninen, satter Frucht und nahezu paradiesischem Schmelz. Oder wie schwärmte mal ein offenbar der italienischen Sprache mächtiger Kunde: ""Che bello""! So kurz kann man es natürlich auch sagen.",14.39%,körperreich&vollmundig,Italien
94,ANDERGASSEN Lagrein,2001,red,14.8,"Es ist ein ganz wunderbaren Trend: die Hinwendung zu alten, heimischen Rebsorten, geradezu ein Schlag ins Gesicht der vinophilen Globalisierung. In Südtirol steht der Lagrein als Fels in der Brandung und liefert herrliche Rotweine mit regionalem Charakter. Der Lagrein-Klassiker vom Steflhof macht da keine Ausnahme. Mit seiner tiefroten Farbe, dem profunden Bouquet nach Roten Johannisbeeren, Brombeeren und Mandel und seinem vollen, samtigen und markanten Geschmack. Erleben Sie einen kleinen Kurz-Trip Richtung Südtirol, gönnen Sie sich ein Glas Urlaubsfeeling.",12.86%,mittelkräftig&ausgewogen,Italien
95,LUCIO MUÑOZ Las Canteras,2010,red,5.95,"Erstaunlich üppiges Bouquet mit Süßkirschen, Veilchen, Schokolade und Vanille. Am Gaumen schmeichelt der Wein durch seine saftig-beerige Frucht und zugleich pikante Art. Der Nachhall finessenreich und ausgesprochen harmonisch.",14.18%,mittelkräftig&ausgewogen,Spanien
96,VIÑA BOLANTA,2013,red,5.95,"Ein wahrlich seelenvoller Wein, der mit leuchtendem Rubinrot ins Glas fließt. Das charmante Bouquet zeigt jede Menge Frucht (Heidelbeeren, Süßkirschen, Himbeeren) und mediterrane Kräuter (Thymian, Lorbeer) die dem Duft eine angenehme Frische geben. Am Gaumen kräftig, würzige Tannine und gut eingebundene Weinsäure zeigend. Das Finale noch ganz von der Fruchtdichte eines jungen Weins geprägt, was ihm ausgesprochen gut steht. Sehr gut zu Pizza, Pasta und Tortilla.",12.15%,mittelkräftig&ausgewogen,Spanien
97,PRINCIPIO Garnacha,2002,red,5.95,"Garnacha pur, Garnacha zum Verlieben. Wie die Bodega Pirineos die altehrwürdige Rebsorte in Szene setzt, das hat Niveau; Schon die leuchtende granatrote Farbe weist auf ein köstliches Wein-Erlebnis hin. Das duftige Bouquet mit roten und schwarzen Beeren, Kirschen und dezenter Kräuterwürzigkeit lädt zum nächsten Schritt ein, um dann am Gaumen mit saftigen Tanninen, fruchtiger Struktur und einem köstlichen Nachhall nochmals zu beweisen, dass Garnacha richtig gute Weine hervorbringt.",14.00%,jung&fruchtig,Spanien
98,MUCHO MÁS,2001,red,6.7,"Ein Tempranillo der die Sinne erweckt. Das kräftige Bouquet duftet nach schwarzen Beeren, Kirschen, Kräutern und leicht floralen Noten, am Gaumen mit üppiger Frucht, schmeichelnden Tanninen und einer herrlichen Würzigkeit, während der Nachhall wieder auf der Frucht-Klaviatur spielt. Hier gibt es viel mehr Wein als man erwartet... viel mehr = Mucho más.",13.53%,mittelkräftig&ausgewogen,Spanien
99,TORRE ORIA Crianza,2020,red,5.7,"Bodegas Torre Oria – gegründet im Jahr 1897 – liegt im Hinterland von Valencia, wo die lokale Rebsorte Bobal regiert. Eine alte, wichtige mediterrane Rebe, deren Name sich aus dem lateinischen „Bovis“ ableitet, was Ochse bedeutet. Der Legende nach bekam sie ihn, weil sie robust ist und klaglos mit der manchmal großen Hitze der Region zurechtkommt. Heutzutage gilt sie als südspanische Spezialität und bringt hier zusammen mit Cabernet Sauvignon und Petit Verdot einen überaus spannenden Wein hervor. Ein dichtes Rubinrot macht den Auftakt. Das aromatische Bouquet zeigt die typischen Noten eines sechs Monate im Eichenfass gereiften Weins: Rote Kirschen und Brombeeren treffen auf Röstkastanien, Rauch, Leder und Gewürze. Am Gaumen mittelkräftig, dabei mit großartiger Balance zwischen dunklen Früchten und Vanillenoten von der Eiche. Der Nachhall ausgewogen und rund. Viel guter Wein fürs Geld.",13.41%,mittelkräftig&ausgewogen,Spanien
100,GRAN MARIUS Reserva,2010,red,7.5,"Die Gran Marius Reserva ist seit vielen Jahren ein ganz großer Publikums-Liebling. Und das aus gutem Grund, wie der aktuelle Jahrgang zeigt: Schon die kirschrote Robe mit granatrotem Rand macht Lust den ersten Schluck. Und was für ein herrliches Bouquet… Dunkle Schokolade, Vanilleschoten, eingekochte Früchte (Kirsche, Pflaume) und Süßholz wechseln sich ab. Am Gaumen ist der Wein gut strukturiert und mit einem saftigen Körper ausgerüstet. Eine gut eingebundene Weinsäure verleiht dem Wein das nötige Rückgrat, seidig-reife Tannine führen die Cuvée in ein langes Finale. ¡Muy sabroso!",14.67%,körperreich&vollmundig,Spanien
